"Want a ride tomorrow inside of GTA to commute to different places for checking out the rented houses. Can anyone help me out about it. It's gonna be maximum for 3 hours, probably after 5:30 pm",Not Labeled,
"Looking for a ride from waterloo to hamilton on Friday august 26th around 4/5 pm!",Not Labeled,
"Looking for a ride from Toronto to Waterloo :) Today (Friday 25th) before noon.",Not Labeled,
"looking for a ride from toronto to waterloo tonight after 8pm",Not Labeled,
"Looking for someone to help me move a few boxes (literally a few) into my new place today around 12:00 - 2:00 pm Willing to pay!!! :) PM me plss, girl here is desperate",Not Labeled,
"Looking for a ride Waterloo-pearson airport the 26th end of afternoon (6pm). Big suitcase.",Not Labeled,
"Looking for a ride from missisuaga to Waterloo today afternoon. Msg me if ur heading that way!",Not Labeled,
"looking for toronto-waterloo between 530-7pm tomorrow aug 25th",Not Labeled,
"In need of a ride to Burlington after 3 pm tomorrow. This is urgent, I will pay anything.",Not Labeled,
"Looking for a ride from Pearson airport to Waterloo on 29th August ust in morning.",Not Labeled,
"Looking for a ride to Waterloo from either Toronto or Guelph on Monday, August 28 in the morning.",Not Labeled,
"Looking for ride from Pearson airport to Waterloo on Aug.27 at night.",Not Labeled,
"Looking for a ride from Waterloo to Toronto Friday 25th, 7pm.",Not Labeled,
"Driving today (Aug 25th):  Toronto/Mississauga --> Waterloo @ 1pm (4 spots open)  Waterloo--> Toronto 3pm (4 spots open)  $20. (Can stop along the way for cheaper). PM me or text (647) 783 1745 for details!!!  https://www.facebook.com/torontorideshare",Not Labeled,
"Looking for Toronto to Waterloo tomm (Aug 25). Willing for extra for door to door",Not Labeled,
"Looking for a ride friday morning 25th Aug, waterloo-northyork / yorkdale/ etobicoke. Thanks",Not Labeled,
"Looking for a ride from waterloo to toronto (north york) saturday evening",Not Labeled,
"Driving from Finch station Toronto to Burger King Waterloo on Saturday night at 8 pm $20 4/4 seats available",Not Labeled,
"HEYY ALL IF U WANT FREE SCENE POINTS!! To get started and a FREE 500 SCENE/AEROPLAN points, download Carrot Rewards and enter promo code: ELWINL8047 Simply download Canada's Public Health's 'CARROT REWARDS' app on your iPhone or Android. Health tips, easy/fun/super short quizzes earns you great health and FREE Scene points for movies/restaurants/retail, OR FREE Aeroplan points for prizes/travel/retail. Activate email for additional points",Not Labeled,
"Looking for a ride from Waterloo to Markham/Scarborough on Sat Aug 26th anytime between 7am-9:30am",Not Labeled,
"HEYY ALL IF U WANT FREE SCENE POINTS!! To get started and a FREE 500 SCENE/AEROPLAN points, download Carrot Rewards and enter promo code: ELWINL8047 Simply download Canada's Public Health's 'CARROT REWARDS' app on your iPhone or Android. Health tips, easy/fun/super short quizzes earns you great health and FREE Scene points for movies/restaurants/retail, OR FREE Aeroplan points for prizes/travel/retail.   Activate email for additional points",Not Labeled,
"Driving from Waterloo --> Mississauga / Pearson Airport / Etobicoke (Friday, August 25 @ 1:15PM)   Pick up at 7/11 (King & Uni), $15",Not Labeled,
"DRIVING Tomorrow Friday Aug 25 at 9:30 AM Waterloo BK plaza -> Yorkdale Mall",Not Labeled,
"looking for a ride tonight from waterloo to scarborough (pmall, stc) for tonight or tomorrow morning!!",Not Labeled,
"Driving waterloo --> Fairview mall  August 25 11 am  15$",Not Labeled,
"Driving from Waterloo to Brampton/Mississauga around 1230-1am",Not Labeled,
"Driving Aug 25 Friday 11:30am,Fairview=>>Waterloo Pickup:Fairview,Sheppard-yonge,yorkdale Drop off:7-Eleven,burger king plaza $15,door to door$20 Plz text 226-600-0025",Not Labeled,
"Driving TNITE: 945PM - Thurs Aug 24 Waterloo to Toronto  (Going as far east as Peterborough) Door to door available $15+ Pls msg for quote",Not Labeled,
"Driving from Mississauga to Waterloo tomorrow (Aug 25), time flexible!",Not Labeled,
"Driving Markham / Yorkdale to Waterloo tomorrow Friday August 25 noon",Not Labeled,
"Looking for ride Waterloo to Toronto DT Friday Aug 25 after 6pm",Not Labeled,
"Driving from Waterloo to Toronto (STC) today night ! Around 9pm msg in the comments and then dm me thanks!",Not Labeled,
"Driving Friday  Saturday Sunday Aug 25 26 27  Friday Sunday  5:00pm toronto-waterloo  7:30pm waterloo-toronto  Saturday  10:00am toronto-waterloo  12:30pm waterloo-toronto  pick up & drop off : fairview mall ,  yonge&sheppard subway station.uw plaza   text: 514-578-6388",Not Labeled,
"Driving from Pearson/Brampton and Mississauga to Waterloo today at 2 or 230pm",Not Labeled,
"From: Waterloo (BK or 7/11) To: Scarborough (STC or PMall) When: Aug 25 @ 6:00PM PM me if interested--$15",Not Labeled,
